 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
1,g77_skel.tif,204.944,255,0,255,255,255,1268.544,97.429,1268.544,97.429,61.131,0.689,NaN,1.956,0.511,0.919
2,g77_skel.tif,104.123,255,0,255,255,255,1251.949,97.132,1251.949,97.132,40.293,0.806,NaN,1.153,0.868,0.946
3,g77_skel.tif,161.735,255,0,255,255,255,1237.608,98.594,1237.608,98.594,52.500,0.737,NaN,1.626,0.615,0.910
4,g77_skel.tif,152.433,255,0,255,255,255,1196.641,99.389,1196.641,99.389,51.537,0.721,NaN,1.558,0.642,0.922
5,g77_skel.tif,173.138,255,0,255,255,255,1211.330,100.027,1211.330,100.027,69.731,0.447,NaN,1.538,0.650,0.807
6,g77_skel.tif,117.625,255,0,255,255,255,1294.474,99.146,1294.474,99.146,43.414,0.784,NaN,1.742,0.574,0.919
7,g77_skel.tif,4.501,255,0,255,255,255,952.392,96.647,952.392,96.647,13.037,0.333,NaN,3.773,0.265,0.577
8,g77_skel.tif,39.609,255,0,255,255,255,955.460,101.145,955.460,101.145,27.224,0.672,NaN,1.070,0.935,0.874
9,g77_skel.tif,216.647,255,0,255,255,255,1035.345,104.271,1035.345,104.271,58.110,0.806,NaN,1.053,0.950,0.929
10,g77_skel.tif,365.179,255,0,255,255,255,1158.102,104.999,1158.102,104.999,78.573,0.743,NaN,1.279,0.782,0.939
11,g77_skel.tif,261.057,255,0,255,255,255,1054.177,104.348,1054.177,104.348,64.285,0.794,NaN,1.611,0.621,0.954
12,g77_skel.tif,68.415,255,0,255,255,255,939.047,102.993,939.047,102.993,36.442,0.647,NaN,1.247,0.802,0.846
13,g77_skel.tif,556.921,255,0,255,255,255,1181.799,110.724,1181.799,110.724,96.313,0.754,NaN,1.325,0.755,0.930
14,g77_skel.tif,478.004,255,0,255,255,255,1224.951,112.654,1224.951,112.654,90.890,0.727,NaN,1.446,0.692,0.899
15,g77_skel.tif,326.771,255,0,255,255,255,1289.973,112.318,1289.973,112.318,73.183,0.767,NaN,1.204,0.830,0.917
16,g77_skel.tif,616.334,255,0,255,255,255,995.988,115.732,995.988,115.732,116.354,0.572,NaN,1.794,0.557,0.805
17,g77_skel.tif,153.933,255,0,255,255,255,864.915,107.401,864.915,107.401,49.855,0.778,NaN,1.602,0.624,0.923
18,g77_skel.tif,79.817,255,0,255,255,255,879.425,106.249,879.425,106.249,33.852,0.875,NaN,1.098,0.910,0.966
19,g77_skel.tif,367.880,255,0,255,255,255,1100.283,113.681,1100.283,113.681,78.395,0.752,NaN,1.095,0.913,0.928
20,g77_skel.tif,248.454,255,0,255,255,255,1308.918,111.356,1308.918,111.356,61.608,0.823,NaN,1.281,0.781,0.950
21,g77_skel.tif,427.593,255,0,255,255,255,1122.522,113.914,1122.522,113.914,86.008,0.726,NaN,1.085,0.922,0.897
22,g77_skel.tif,284.462,255,0,255,255,255,1270.136,111.823,1270.136,111.823,67.494,0.785,NaN,1.146,0.872,0.953
23,g77_skel.tif,306.066,255,0,255,255,255,1080.673,112.912,1080.673,112.912,72.862,0.724,NaN,1.319,0.758,0.912
24,g77_skel.tif,311.468,255,0,255,255,255,1249.829,112.854,1249.829,112.854,68.667,0.830,NaN,1.111,0.900,0.955
25,g77_skel.tif,366.379,255,0,255,255,255,960.783,115.317,960.783,115.317,78.527,0.747,NaN,1.228,0.815,0.909
26,g77_skel.tif,396.386,255,0,255,255,255,895.977,117.296,895.977,117.296,82.080,0.739,NaN,1.122,0.892,0.915
27,g77_skel.tif,450.398,255,0,255,255,255,1017.420,117.535,1017.420,117.535,85.788,0.769,NaN,1.318,0.759,0.945
28,g77_skel.tif,321.370,255,0,255,255,255,1142.876,117.439,1142.876,117.439,69.676,0.832,NaN,1.186,0.843,0.932
